No.,Company Name,Ticker
309,IGB REAL ESTATE INVESTMENT TRUST,5227.KL
310,IHH HEALTHCARE BERHAD [S],IHHHF
311,IJM CORPORATION BERHAD [S],3336.KL
312,IJM PLANTATIONS BERHAD,2216.KL
313,IKHMAS JAYA GROUP BERHAD [S],5268.KL
314,IMASPRO CORPORATION BERHAD [S],No result
315,IMPIANA HOTELS BERHAD [S],7243.KL
316,INARI AMERTRON BERHAD [S],0166.KL
317,INCH KENNETH KAJANG RUBBER PUBLIC LTD CO [S],2607.KL
318,INDUSTRONICS BERHAD [S],9393.kl
319,INNATURE BERHAD [S],No result
320,INNOPRISE PLANTATIONS BERHAD [S],No result
321,INSAS BERHAD,3379.KL
322,INTA BINA GROUP BERHAD [S],No result
323,INTEGRATED LOGISTICS BHD,5614.KL
324,IOI CORPORATION BERHAD [S],1961.KL
325,IOI PROPERTIES GROUP BERHAD [S],5249.KL
326,IPMUDA BERHAD [S],5673.kl
327,IQ GROUP HOLDINGS BERHAD [S],5107.kl
328,IRE-TEX CORPORATION BERHAD [S],7183.KL
329,IREKA CORPORATION BERHAD [S],No result
330,ISKANDAR WATERFRONT CITY BERHAD [S],1589.KL
331,IVORY PROPERTIES GROUP BERHAD [S],5175.KL
332,JADE MARVEL GROUP BERHAD [S],jade
333,JADI IMAGING HOLDINGS BERHAD [S],7223.KL
334,JAKS RESOURCES BERHAD [S],4723.KL
335,JASA KITA BERHAD,No result
336,JAYA TIASA HOLDINGS BHD [S],4383.KL
337,JAYCORP BERHAD [S],7152.KL
338,JCBNEXT BERHAD,0058.kl
339,JCY INTERNATIONAL BERHAD [S],5161.KL
340,JERASIA CAPITAL BERHAD,8931.KL
341,JIANKUN INTERNATIONAL BERHAD [S],8923.kl
342,JKG LAND BERHAD [S],6769.KL
343,JOHAN HOLDINGS BERHAD,No result
344,JOHORE TIN BERHAD [S],7167.kl
345,K-STAR SPORTS LIMITED,5172.KL
346,K.SENG SENG CORPORATION BERHAD [S],5192.KL
347,KAMDAR GROUP (M) BERHAD [S],8672.KL
348,KAREX BERHAD,5247.KL
349,KARYON INDUSTRIES BERHAD [S],0054.KL
350,KAWAN FOOD BERHAD [S],7216.KL
351,KECK SENG (MALAYSIA) BERHAD,No result
352,KEIN HING INTERNATIONAL BERHAD [S],7199.KL
353,KELINGTON GROUP BERHAD [S],0151.KL
354,KEN HOLDINGS BERHAD [S],7323.KL
355,KENANGA INVESTMENT BANK BERHAD,6483.KL
356,KERJAYA PROSPEK GROUP BERHAD [S],7161.KL
357,GSB GROUP BERHAD [S],7077.KL
358,KESM INDUSTRIES BERHAD [S],9334.KL
359,KEY ASIC BERHAD [S],0143.kl
360,KHEE SAN BERHAD [S],6203.KL
361,KHIND HOLDINGS BERHAD [S],7062.KL
362,KIA LIM BERHAD [S],6211.KL
363,KIM HIN INDUSTRY BERHAD [S],KIMH.KL
364,KIM LOONG RESOURCES BERHAD [S],5027.KL
365,KIMLUN CORPORATION BERHAD [S],5171.KL
366,KINSTEEL BHD,No result
367,KIP REAL ESTATE INVESTMENT TRUST,5280.kl
368,KKB ENGINEERING BERHAD [S],9466.KL
369,KLCC REAL ESTATE INVESTMENT TRUST [S],5235SS.KL
370,KLUANG RUBBER COMPANY (MALAYA) BERHAD,No result
371,KNM GROUP BERHAD,7164.KL
372,KNUSFORD BERHAD [S],5035.KL
373,KOBAY TECHNOLOGY BERHAD [S],6971.KL
374,KOMARKCORP BERHAD [S],7017.KL
375,KONSORTIUM TRANSNASIONAL BERHAD [S],No result
376,KOSSAN RUBBER INDUSTRIES BERHAD [S],7153.KL
377,KOTRA INDUSTRIES BERHAD [S],0002.kl
378,KPJ HEALTHCARE BERHAD [S],5878.KL
379,KPS CONSORTIUM BERHAD [S],9121.KL
380,KRETAM HOLDINGS BERHAD [S],No result
381,KSL HOLDINGS BERHAD [S],5038.KL
382,KUALA LUMPUR KEPONG BERHAD [S],No result
383,KUB MALAYSIA BERHAD [S],6874.KL
384,KUCHAI DEVELOPMENT BERHAD,No result
385,KUMPULAN FIMA BERHAD [S],6491.KL
386,KUMPULAN H & L HIGH-TECH BERHAD [S],7033.kl
387,KUMPULAN JETSON BERHAD [S],9083.KL
388,KUMPULAN PERANGSANG SELANGOR BERHAD [S],5843.KL
389,KUMPULAN POWERNET BERHAD [S],No result
390,KWANTAS CORPORATION BERHAD [S],6572.KL
391,KYM HOLDINGS BERHAD [S],8362.kl
392,LAND & GENERAL BERHAD [S],3174.KL
393,LANDMARKS BERHAD,1643.KL
394,LATITUDE TREE HOLDINGS BERHAD [S],7006.KL
395,LAY HONG BERHAD [S],9385.KL
396,LB ALUMINIUM BERHAD [S],9326.KL
397,LBI CAPITAL BERHAD,8494.KL
398,LBS BINA GROUP BERHAD [S],5789.KL
399,LEADER STEEL HOLDINGS BERHAD,9881.KL
400,LEBTECH BERHAD [S],No result
401,LEE SWEE KIAT GROUP BERHAD [S],8079.KL
402,LEON FUAT BERHAD,5232.KL
403,LEONG HUP INTERNATIONAL BERHAD,LTKM.KL
404,LEWEKO RESOURCES BERHAD [S],8745.KL
405,LFE CORPORATION BERHAD [S],7170.KL
406,LIEN HOE CORPORATION BERHAD,No result
407,LII HEN INDUSTRIES BHD. [S],7089.KL
408,LINGKARAN TRANS KOTA HOLDINGS BERHAD [S],6645.kl
409,LION INDUSTRIES CORPORATION BERHAD [S],4235.KL
410,LION FOREST INDUSTRIES BERHAD [S],8486.KL
411,LONDON BISCUITS BERHAD,7126.kl
412,LOTTE CHEMICAL TITAN HOLDING BERHAD [S],011170.KS
413,LOTUS KFM BERHAD [S],8303.KL
414,LPI CAPITAL BHD,8621.KL
415,LTKM BERHAD [S],LTKM.KL
416,LUSTER INDUSTRIES BHD.,5068.KL
417,LUXCHEM CORPORATION BERHAD [S],5143.KL
418,LYSAGHT GALVANIZED STEEL BERHAD,9199.kl
419,MAA GROUP BERHAD,1198.KL
420,MAGNA PRIMA BERHAD [S],No result
421,MAGNI-TECH INDUSTRIES BERHAD [S],7087.KL
422,MAGNUM BERHAD,3859.KL
423,MAH SING GROUP BERHAD [S],8583.KL
424,MAJUPERAK HOLDINGS BERHAD,8141.KL
425,MALAKOFF CORPORATION BERHAD [S],5264.KL
426,MALAYAN BANKING BERHAD,1155.KL
427,MALAYAN CEMENT BERHAD [S],7113.KL
428,MALAYAN FLOUR MILLS BERHAD,No result
429,MALAYAN UNITED INDUSTRIES BERHAD,3891.KL
430,MALAYSIA AIRPORTS HOLDINGS BERHAD,5014.KL
431,MALAYSIA BUILDING SOCIETY BERHAD,1171.KL
432,MALAYSIA MARINE AND HEAVY ENGINEERING HOLDINGS BERHAD [S],5186.kl
433,MALAYSIA PACIFIC CORPORATION BERHAD,3867.KL
434,MALAYSIA SMELTING CORPORATION BERHAD [S],5916.kl
435,MALAYSIA STEEL WORKS (KL) BHD [S],No result
436,MALAYSIAN BULK CARRIERS BERHAD,5077.KL
437,MALAYSIAN PACIFIC INDUSTRIES BERHAD [S],No result
438,MALAYSIAN RESOURCES CORPORATION BERHAD [S],1651.KL
439,MALPAC HOLDINGS BERHAD,4936.KL
440,MALTON BERHAD [S],6181.KL
441,MANULIFE HOLDINGS BERHAD,No result
442,MARCO HOLDINGS BERHAD,3514.KL
443,MARINE & GENERAL BERHAD,5078.KL
