No.,Company Name,Company Website
468,MILUX CORPORATION BERHAD [S],http://www.milux.com.my
469,MINDA GLOBAL BERHAD [S],http://www.mindaglobal.com.my
470,MINETECH RESOURCES BERHAD [S],http://www.minetech.com.my
471,MINHO (M) BERHAD [S],http://www.minhobhd.com
472,MINTYE BERHAD [S],http://www.mintye.com
473,MISC BERHAD [S],http://www.misc.com.my/
474,MITRAJAYA HOLDINGS BERHAD [S],http://www.mitrajaya.com.my
475,MK LAND HOLDINGS BERHAD [S],http://www.mkland.com.my/corporate/
476,MKH BERHAD [S],http://www.mkhberhad.com
477,MMC CORPORATION BERHAD [S],http://www.mmc.com.my
478,MMS VENTURES BERHAD [S],http://www.mmsv.com.my
479,MNRB HOLDINGS BERHAD,http://www.mnrb.com.my
480,MPHB Capital Berhad,http://www.mphbcap.com.my
481,QUILL CAPITA TRUST,http://www.qct.com.my/
482,MSCM HOLDINGS BERHAD [S],http://www.panpages.com
483,MSM MALAYSIA HOLDINGS BERHAD [S],http://www.msmholdings.com
484,MTD ACPI ENGINEERING BERHAD [S],http://www.mtdgrp.com
485,MUAR BAN LEE GROUP BERHAD [S],http://www.mbl.com/
486,MUDA HOLDINGS BERHAD [S],http://www.muda.com.my
487,MUDAJAYA GROUP BERHAD,http://www.mudajaya.com
488,MUHIBBAH ENGINEERING (M) BHD [S],http://www.muhibbah.com
489,MUI PROPERTIES BERHAD [S],http://www.muiproperties.com.my
490,MULPHA INTERNATIONAL BERHAD,http://www.mulpha.com.my
491,MULTI-USAGE HOLDINGS BERHAD [S],http://www.muh.com.my
492,MY E.G. SERVICES BERHAD [S],http://www.myeg.com.my
493,MYCRON STEEL BERHAD [S],http://www.mycronsteel.com
494,MYNEWS HOLDINGS BERHAD,http://www.bisonconsolidated.com/home/
495,NAIM HOLDINGS BERHAD [S],https://www.naim.com.my
496,NATIONWIDE EXPRESS HOLDINGS BERHAD [S],http://www.nationwide2u.com
497,NEGRI SEMBILAN OIL PALMS BERHAD,http://www.nsop.com.my
498,NESTLE (MALAYSIA) BERHAD [S],http://www.nestle.com.my/
499,NEW HOONG FATT HOLDINGS BERHAD [S],http://www.newhoongfatt.com.my
500,NEXTGREEN GLOBAL BERHAD [S],http://www.bhs.listedcompany.com
501,NI HSIN RESOURCES BERHAD [S],http://www.ni-hsin.com
502,NICHE CAPITAL EMAS HOLDINGS BERHAD [S],http://www.yikon.com.my/
503,NOTION VTEC BERHAD [S],http://www.notionvtec.com
504,NPC RESOURCES BERHAD [S],http://www.npc.com.my
505,NTPM HOLDINGS BERHAD [S],http://www.ntpm.com.my
506,NWP HOLDINGS BERHAD [S],http://www.nwp.com.my/
507,NYLEX (MALAYSIA) BERHAD [S],http://www.nylex.com
508,OCB BERHAD [S],http://www.ocbb.com.my
509,OCEANCASH PACIFIC BERHAD [S],http://www.oceancash.com.my/
510,OCK GROUP BERHAD,http://www.ock.com.my
511,OCR GROUP BERHAD [S],http://www.ocrbhd.com/
512,OKA CORPORATION BHD [S],http://www.oka.com.my/
513,OLYMPIA INDUSTRIES BERHAD,http://www.oib.com.my
514,OMESTI BERHAD [S],http://www.omesti.com
515,ONLY WORLD GROUP HOLDINGS BERHAD,http://www.owg.com.my/
516,ORIENTAL FOOD INDUSTRIES HOLDINGS BERHAD [S],http://www.ofih.com.my
517,ORIENTAL HOLDINGS BERHAD,http://www.ohb.com.my
518,ORIENTAL INTEREST BERHAD [S],http://www.oibgroup.com
519,ORNAPAPER BERHAD [S],http://www.ornapaper.com
520,OSK HOLDINGS BERHAD,http://www.oskgroup.com/
521,P.A. RESOURCES BERHAD [S],http://www.pagroup.com.my
522,P.I.E. INDUSTRIAL BERHAD [S],http://www.pieib.com.my
523,PACIFIC & ORIENT BERHAD,http://www.pacific-orient.com
524,PADINI HOLDINGS BERHAD [S],http://corporate.padini.com/
525,PAN MALAYSIA CORPORATION BERHAD [S],http://www.pmcorporation.com.my
526,PAN MALAYSIA HOLDINGS BERHAD [S],http://www.pmholdings.com.my
527,PANASONIC MANUFACTURING MALAYSIA BERHAD,http://pmma.panasonic.com.my
528,PANSAR BERHAD [S],http://www.pansar.com.my
529,PANTECH GROUP HOLDINGS BERHAD [S],http://www.pantech-group.com
530,PAOS HOLDINGS BERHAD [S],http://www.paos.com.my
531,PARAGON GLOBE BERHAD [S],http://www.gbhgroup.com.my
532,PARAGON UNION BERHAD [S],http://www.paragon.com.my
533,PARAMOUNT CORPORATION BERHAD [S],https://www.pcb.my
534,PARKSON HOLDINGS BERHAD [S],http://www.lion.com.my/parkson
535,PASDEC HOLDINGS BERHAD [S],http://www.pasdec.com.my
536,PAVILION REAL ESTATE INV TRUST,http://www.pavilion-reit.com
537,PBA HOLDINGS BHD [S],http://www.pbahb.com.my
538,PCCS GROUP BERHAD [S],http://www.pccsgroup.net
539,PDZ HOLDINGS BHD [S],http://www.pdzlines.com
540,PECCA GROUP BERHAD [S],https://www.peccaleather.com/
541,PEGASUS HEIGHTS BERHAD [S],http://www.pegasusheights.com/
542,PELANGI PUBLISHING GROUP BHD. [S],http://www.pelangipublishing.com
543,PELIKAN INTERNATIONAL CORPORATION BERHAD [S],http://www.pelikan.com/
544,PENSONIC HOLDINGS BERHAD,http://www.pensonic.com/
545,PENTAMASTER CORPORATION BERHAD,http://www.pentamaster.com
546,PERAK CORPORATION BERHAD,http://www.perakcorp.com.my/
547,PERAK TRANSIT BERHAD [S],http://www.peraktransit.com.my
548,PERDANA PETROLEUM BERHAD [S],http://www.petraperdana.com.my
549,PERMAJU INDUSTRIES BERHAD [S],http://www.permaju.com.my
550,PESONA METRO HOLDINGS BERHAD [S],http://www.pesona.com.my
551,PESTECH INTERNATIONAL BERHAD [S],http://pestech-international.com/
552,PETRA ENERGY BERHAD [S],http://www.petraenergy.com.my
553,PETRON MALAYSIA REFINING & MARKETING BHD [S],http://www.petron.com.my
554,PETRONAS CHEMICALS GROUP BERHAD [S],http://www.petronaschemicals.com
555,PETRONAS DAGANGAN BHD [S],http://www.mymesra.com.my
556,PETRONAS GAS BERHAD [S],http://www.petronasgas.com
557,PHARMANIAGA BERHAD [S],http://www.pharmaniaga.com/ph/main.cfm
558,PIMPINAN EHSAN BERHAD [S],https://www.pebhd.com.my
559,PINEHILL PACIFIC BERHAD [S],http://www.pinepac.com.my
560,PINTARAS JAYA BHD [S],http://www.pintaras.com.my
561,PJBUMI BERHAD [S],http://www.pjbumi.com.my
562,PLB ENGINEERING BERHAD,http://www.plb.com.my
563,PLENITUDE BERHAD,http://www.plenitude.com.my
564,PLS PLANTATIONS BERHAD [S],http://www.limbongan.com
565,PMB TECHNOLOGY BERHAD [S],http://www.pmbtechnology.com
566,PNE PCB BERHAD [S],http://www.pne.com.sg
567,POH HUAT RESOURCES HOLDINGS BERHAD [S],http://www.pohhuat.com
568,POH KONG HOLDINGS BERHAD [S],http://www.pohkong.com.my
569,POLY GLASS FIBRE (M) BERHAD [S],http://www.polyglass.com.my
570,POS MALAYSIA BERHAD [S],http://www.pos.com.my
571,POWER ROOT BERHAD [S],http://www.powerroot.com
572,PPB GROUP BERHAD [S],http://www.ppbgroup.com
573,PRESS METAL ALUMINIUM HOLDINGS BERHAD [S],http://www.pressmetal.com
574,PRESTAR RESOURCES BERHAD [S],http://www.prestar.com.my
575,PRESTARIANG BERHAD [S],http://www.prestariang.com.my
576,PRG HOLDINGS BERHAD [S],http://www.prg.com.my/
577,PRICEWORTH INTERNATIONAL BERHAD [S],http://www.pwpmalaysia.com.my/
578,PROGRESSIVE IMPACT CORPORATION BERHAD [S],http://www.pic.com.my
579,PROLEXUS BERHAD [S],http://www.prolexus.com.my
580,PROTASCO BERHAD [S],http://www.protasco.com.my
581,PERUSAHAAN SADUR TIMAH MALAYSIA (PERSTIMA) BHD [S],http://www.perstima.com.my
582,PUBLIC BANK BERHAD,http://www.publicbank.com.my
583,PUBLIC PACKAGES HOLDINGS BHD [S],http://www.pph.com.my
584,PUNCAK NIAGA HOLDINGS BERHAD [S],http://www.puncakniaga.com.my
585,PWF CORPORATION BERHAD [S],http://www.pwconsolidated.com.my
586,QL RESOURCES BERHAD [S],http://www.ql.com.my/
587,QUALITY CONCRETE HOLDINGS BERHAD [S],http://www.qchb.com.my
588,RALCO CORPORATION BERHAD [S],http://www.ralcocorp.com.my/
589,RANHILL HOLDINGS BERHAD [S],http://www.ranhill.com.my/
590,RAPID SYNERGY BERHAD,http://www.rapidsynergy.com.my
591,RCE CAPITAL BERHAD,http://www.rce.com.my
592,REACH ENERGY BERHAD [S],http://www.reachenergy.com.my
593,RED SENA BERHAD,http://www.redsena.com.my/
594,RESINTECH BERHAD [S],http://www.resintechmalaysia.my/
595,REX INDUSTRY BERHAD [S],http://www.rex.net.my
596,RGB INTERNATIONAL BHD,http://www.rgbgames.com
597,RGT BERHAD [S],http://www.rgtberhad.com
598,RHB BANK BERHAD,http://www.rhbgroup.com/
599,RHONE MA HOLDINGS BERHAD,http://www.rhonema.com/
600,RIMBUNAN SAWIT BERHAD [S],http://www.rsb.com.my/
601,RIVERVIEW RUBBER ESTATES BERHAD [S],http://www.riverview.com.my
602,ROHAS TECNIC BERHAD [S],http://www.rohastecnic.com/
603,RUBBEREX CORPORATION (M) BERHAD [S],http://www.rubberex-corp.com.my
604,SALCON BERHAD [S],http://www.salcon.com.my
605,SALUTICA BERHAD [S],http://www.salutica.com
606,SAM ENGINEERING & EQUIPMENT (M) BERHAD [S],http://www.sam-malaysia.com
607,SAMCHEM HOLDINGS BERHAD,http://www.samchem.com.my/home/
608,SAND NISKO CAPITAL BERHAD [S],http://www.lcfurniture.com/
609,SAPURA ENERGY BERHAD [S],http://www.sapuraenergy.com/
610,SAPURA INDUSTRIAL BERHAD [S],http://www.sapura.com.my/
611,SAPURA RESOURCES BERHAD [S],http://www.sapura-resources.com/
612,SARAWAK CABLE BERHAD [S],http://www.sarawakcable.com
613,SARAWAK CONSOLIDATED INDUSTRIES BERHAD [S],http://www.scib.com.my
614,SARAWAK OIL PALMS BERHAD [S],http://www.sop.com.my/
615,SARAWAK PLANTATION BERHAD [S],http://www.spbgroup.com.my
616,SASBADI HOLDINGS BERHAD [S],http://www.sasbadiholdings.com
617,SAUDEE GROUP BERHAD [S],http://saudee.com/
618,SBC CORPORATION BERHAD [S],http://www.sbcgroup.com.my
619,SCANWOLF CORPORATION BERHAD [S],http://www.scanwolf.com
620,SCGM BHD [S],http://www.scgmbhd.com
621,SCICOM (MSC) BERHAD,http://www.scicom-intl.com
622,SCIENTEX BERHAD [S],http://www.scientex.com.my
623,SCOMI ENERGY SERVICES BHD [S],http://www.scomienergy.com.my
624,SCOMI GROUP BERHAD [S],http://www.scomigroup.com.my
625,SEACERA GROUP BERHAD [S],http://www.seacera.com.my
626,SEAL INCORPORATED BERHAD [S],http://www.sib.com.my
627,SEALINK INTERNATIONAL BERHAD [S],http://www.asiasealink.com
628,SEE HUP CONSOLIDATED BERHAD [S],http://www.seehup.com.my
629,SEG INTERNATIONAL BHD [S],http://www.segi.edu.my
630,SELANGOR DREDGING BERHAD [S],http://www.sdb.com.my
631,SENI JAYA CORPORATION BERHAD [S],http://www.senijayacorp.com
632,SENTORIA GROUP BERHAD [S],http://www.sentoria.com.my
633,SERBA DINAMIK HOLDINGS BERHAD [S],http://serbadinamik.com/
634,SEREMBAN ENGINEERING BERHAD,http://www.seb.net.my
635,SERN KOU RESOURCES BERHAD [S],http://www.sernkou.com
636,SHANGRI-LA HOTELS (MALAYSIA) BERHAD,http://www.shangri-la.com
637,SHH RESOURCES HOLDINGS BERHAD [S],http://www.shh.com.my
638,SHIN YANG SHIPPING CORPORATION BERHAD [S],http://www.syshippingcorp.com.my/
639,SHL CONSOLIDATED BHD [S],http://www.shlcb.com.my/
640,SIG GASES BERHAD [S],http://www.siggases.com
641,SIGNATURE INTERNATIONAL BERHAD [S],http://www.signaturekitchen.com.my
642,SIME DARBY BERHAD [S],http://www.simedarby.com
643,SIME DARBY PLANTATION BERHAD [S],http://www.simedarbyplantation.com/
644,SIME DARBY PROPERTY BERHAD [S],https://www.simedarbyproperty.com/
645,SIN HENG CHAN (MALAYA) BERHAD [S],http://www.shcm.com.my/
646,SINMAH CAPITAL BERHAD [S],http://www.sinmah.com.my
647,SINO HUA-AN INTERNATIONAL BERHAD [S],http://www.sinohuaan.com
648,SINOTOP HOLDINGS BERHAD [S],http://www.sinotop.com.my
649,SKB SHUTTERS CORPORATION BERHAD [S],http://www.skb-shutters.com
650,SKP RESOURCES BHD [S],http://www.skpres.com
651,SLP RESOURCES BERHAD [S],http://www.sinliplas.com.my
652,SMIS CORPORATION BERHAD [S],http://www.smis.com.my
653,SOLID AUTOMOTIVE BERHAD [S],http://www.solidautomotive.com
